config_id,strategy,symbols,avg_exposure,start,end,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,total_return
xgboost|no_volume_features|0.45,model,5,0.7360789088829449,2020-01-02,2023-12-29,0.19419935788945578,0.2680386020563159,0.7245201116541182,0.9641519987891001,-0.439501646148756,1.1711482320750362
random_forest|all_features|0.65,model,5,0.10187697054182418,2020-01-02,2023-12-29,0.05411596482972733,0.07482262616152383,0.7232566885971651,0.7334017980585942,-0.05841807559940815,0.24114503336251736
random_forest|all_features|0.50,model,5,0.6766922167156707,2020-01-02,2023-12-29,0.1827408425322374,0.2528738029759381,0.7226562830220333,0.9188210945309414,-0.43205755185699557,1.074070384820272
random_forest|no_volume_features|0.55,model,5,0.45475272999225885,2020-01-02,2023-12-29,0.14453765219609163,0.20042213632958586,0.7211661089092748,0.9142780279627626,-0.24339456185453046,0.7806945495268485
xgboost|returns_plus_volatility|0.65,model,5,0.21625312652395623,2020-01-02,2023-12-29,0.09373620892724953,0.13048766503702272,0.718353025174097,0.8234842465673373,-0.1599627718729767,0.4538291918331241
always_long|baseline|0.00,always_long,5,1.0,2020-01-02,2023-12-29,0.24918279045055744,0.3471077578666374,0.7178830919310545,0.9527054613672284,-0.518545780450574,1.704057764620849
xgboost|returns_only|0.40,model,5,0.8429168499725922,2020-01-02,2023-12-29,0.21147530351839466,0.29515739266467766,0.7164831671983479,0.9747712012630219,-0.42923187040920074,1.3261693030300297
gradient_boosting|zscore_features|0.70,model,5,0.12186040779475735,2020-01-02,2023-12-29,0.062187647122042986,0.08740440924948427,0.711493249093837,0.8811598136425215,-0.18374821780971773,0.2817893555222766
logistic_regression|zscore_features|0.40,model,5,0.9932364075787945,2020-01-02,2023-12-29,0.2431981059184234,0.3443711707683243,0.7062092490954619,0.9277725850467721,-0.5163872710010073,1.640220087012148
random_forest|returns_only|0.70,model,5,0.04927791322944623,2020-01-02,2023-12-29,0.038261376884964546,0.054492990051480485,0.70213392307558,0.643609573910945,-0.05554398887294065,0.1650241842540492
random_forest|returns_plus_volatility|0.45,model,5,0.8077370593165327,2020-01-02,2023-12-29,0.19686597833059616,0.28775215883073896,0.6841511776333755,0.9111522280267069,-0.4830898951495378,1.1943842536602123
xgboost|returns_only|0.55,model,5,0.46708925005167856,2020-01-02,2023-12-29,0.12879256287480825,0.1892893476836091,0.6804004792180951,0.8828173625462401,-0.3333460211244341,0.6722133167314233
random_forest|zscore_features|0.40,model,5,0.8783439079118622,2020-01-02,2023-12-29,0.20729556634699772,0.3082823143236612,0.6724212084685502,0.8852626700197882,-0.4294872291427757,1.2876773894935285
gradient_boosting|all_features|0.50,model,5,0.6346115170411897,2020-01-02,2023-12-29,0.15431542220989009,0.22952014550624195,0.6723393359198327,0.855799918783545,-0.38326439178948746,0.8515756203127014
random_forest|returns_only|0.50,model,5,0.6566223006837072,2020-01-02,2023-12-29,0.16942165878226936,0.2566131843327659,0.660221957117254,0.8441056684752497,-0.4211927675213597,0.9666705145441736
logistic_regression|all_features|0.55,model,5,0.42835269242373003,2020-01-02,2023-12-29,0.12334767143820777,0.18704709425289945,0.6594471404695224,0.8441073119572718,-0.2607747543054121,0.6362576866911052
gradient_boosting|returns_plus_volatility|0.45,model,5,0.7571639637572428,2020-01-02,2023-12-29,0.16863917703966577,0.2577024170674075,0.6543950148343182,0.8605030190975114,-0.49554147753898725,0.9605367778377885
gradient_boosting|all_features|0.70,model,5,0.13830369091424002,2020-01-02,2023-12-29,0.06914705328445364,0.10648325389228767,0.6493702132205579,0.6610035750140361,-0.13491462813439814,0.31789982384018134
xgboost|zscore_features|0.40,model,5,0.8583836910092236,2020-01-02,2023-12-29,0.1982531307578048,0.30767307429412905,0.6443629531529267,0.8462004751270014,-0.5432432069610389,1.2065695847473537
gradient_boosting|returns_plus_volatility|0.40,model,5,0.8355406349506298,2020-01-02,2023-12-29,0.17946789255306714,0.2794065016209686,0.6423182406704548,0.8462908914787198,-0.48600570106717356,1.0471472156659343
xgboost|returns_plus_volatility|0.40,model,5,0.8359209282201141,2020-01-02,2023-12-29,0.1896204307565932,0.29544665028541117,0.6418093776775389,0.8436421598285735,-0.4423788829608821,1.1318215434397958
gradient_boosting|no_volume_features|0.40,model,5,0.8472582267204475,2020-01-02,2023-12-29,0.18409361787348327,0.2886740128737423,0.6377214770419967,0.8286891659438321,-0.4809289577388649,1.085301420594858
xgboost|all_features|0.50,model,5,0.6091565521588906,2020-01-02,2023-12-29,0.14301109786864644,0.22794459059265895,0.6273941289715,0.8293425626083709,-0.41614567247878265,0.7698758143875404
logistic_regression|no_volume_features|0.65,model,5,0.03571473563678656,2020-01-02,2023-12-29,0.04584461544938189,0.07315842752740595,0.62664845321078,0.4316939613627864,-0.0821364119960869,0.20083195888398797
xgboost|no_volume_features|0.60,model,5,0.33654907037262827,2020-01-02,2023-12-29,0.10199351054334385,0.1646743443664603,0.6193649103977679,0.7383883063115513,-0.3325122548165115,0.5025513599942775
xgboost|returns_plus_volatility|0.60,model,5,0.3313681805558993,2020-01-02,2023-12-29,0.09690396380774603,0.16206131337683924,0.5979463067932592,0.7490020333895506,-0.2483821610517175,0.47233087778795735
gradient_boosting|no_volume_features|0.45,model,5,0.7651402107736942,2020-01-02,2023-12-29,0.1541732621926255,0.264344365311843,0.5832288575954689,0.7638620535773608,-0.46304704774254657,0.8505251273836627
logistic_regression|all_features|0.60,model,5,0.1647106088226303,2020-01-02,2023-12-29,0.06956062473476302,0.12065052810427314,0.5765463759482653,0.636857635824474,-0.12190327694716407,0.32007747820918375
xgboost|returns_plus_volatility|0.50,model,5,0.6164737180520655,2020-01-02,2023-12-29,0.13648414192703562,0.23715541668557324,0.5755050583895783,0.7478602982527787,-0.39784229118379466,0.7243555047456798
xgboost|all_features|0.55,model,5,0.4788021743254724,2020-01-02,2023-12-29,0.11325452264230325,0.19719827444942625,0.5743180205734948,0.71190284720273,-0.37940361081445273,0.5716393477762023
gradient_boosting|returns_only|0.50,model,5,0.6487987370175488,2020-01-02,2023-12-29,0.1358199254947279,0.23696040152983855,0.5731756218248355,0.7633222714663384,-0.4552749645704429,0.7197892703175761
random_forest|zscore_features|0.65,model,5,0.17485765064467645,2020-01-02,2023-12-29,0.0580313844297414,0.10307276019977836,0.5630137809180954,0.6427957583235759,-0.2658971742322972,0.2606972881373535
xgboost|zscore_features|0.70,model,5,0.10675781679105774,2020-01-02,2023-12-29,0.04160098930522751,0.07421393271185062,0.5605549764725591,0.5925327688226668,-0.12140919008722195,0.18066022018120886
random_forest|zscore_features|0.70,model,5,0.08147512048549636,2020-01-02,2023-12-29,0.033143824702439185,0.059399014376524256,0.5579861054990556,0.5671299529084348,-0.11886022850900879,0.14146468892199926
gradient_boosting|no_volume_features|0.60,model,5,0.33427635482288176,2020-01-02,2023-12-29,0.08776294772501728,0.1598289144847298,0.5491055733435656,0.6922902806569252,-0.3135142268193074,0.41957177547924807
gradient_boosting|returns_plus_volatility|0.50,model,5,0.6469529435554726,2020-01-02,2023-12-29,0.12644899634020423,0.23096398165147441,0.5474836181643954,0.7067074420117605,-0.48866065692198346,0.656641602247318
xgboost|no_volume_features|0.50,model,5,0.6101552601314424,2020-01-02,2023-12-29,0.12724897078791436,0.23479059649115117,0.5419679181772944,0.7104926210292809,-0.40043813209621715,0.6619406248671584
gradient_boosting|no_volume_features|0.50,model,5,0.6431633269669299,2020-01-02,2023-12-29,0.12511629141842925,0.23171161137656332,0.5399655661411721,0.6989240653870736,-0.4121705294790474,0.647851270998075
logistic_regression|returns_only|0.55,model,5,0.38284779764185617,2020-01-02,2023-12-29,0.10500226596807198,0.19484606788744283,0.5388985628836446,0.6605481496231367,-0.3404856963254721,0.5207075387228857
gradient_boosting|all_features|0.65,model,5,0.21857019808338013,2020-01-02,2023-12-29,0.06729602849770532,0.12611015817767332,0.5336289278369922,0.6034551752656024,-0.16356492664004363,0.3081972161292654
logistic_regression|returns_plus_volatility|0.70,model,5,0.01209626641810948,2020-01-02,2023-12-29,0.02716387861186982,0.0512958763136982,0.5295528717698483,0.3585691028038798,-0.05198785005742923,0.11453795412514989
xgboost|zscore_features|0.60,model,5,0.3162079824250273,2020-01-02,2023-12-29,0.07431245434678067,0.1451943172474777,0.511813793787247,0.6952152605793855,-0.2398305029053075,0.3453578484630768
gradient_boosting|returns_plus_volatility|0.65,model,5,0.2156137010150002,2020-01-02,2023-12-29,0.060494889136672454,0.1203709782751675,0.5025703870112397,0.5818055046364331,-0.19302810318627583,0.273156739885688
xgboost|zscore_features|0.45,model,5,0.7712253526080133,2020-01-02,2023-12-29,0.1421247434887753,0.28362674871862475,0.5010978129914391,0.6505879739976334,-0.5300216155119253,0.7636243824654825
gradient_boosting|no_volume_features|0.55,model,5,0.48450952008516535,2020-01-02,2023-12-29,0.10113990956749043,0.20236663440450045,0.49978550004111333,0.6307620941889783,-0.38166097551539746,0.4974399358319599
xgboost|no_volume_features|0.65,model,5,0.21585772543179438,2020-01-02,2023-12-29,0.06478744451297956,0.13042563160827242,0.4967385912882965,0.5334394311581956,-0.23703407342227034,0.2951617514994629
gradient_boosting|all_features|0.60,model,5,0.3356533799053113,2020-01-02,2023-12-29,0.07892038902438517,0.1607259700078647,0.491024499777624,0.6041350519478512,-0.2188462951634652,0.3703349565709564
gradient_boosting|zscore_features|0.50,model,5,0.6625859308234157,2020-01-02,2023-12-29,0.11986120845516292,0.2468288366518155,0.48560455934183616,0.639064611881404,-0.4469414883161824,0.6136417068234907
logistic_regression|no_volume_features|0.60,model,5,0.12188042552170389,2020-01-02,2023-12-29,0.056419516678642326,0.11787584096131952,0.47863511486765264,0.47378710590558454,-0.09842556477478226,0.25261115027332837
gradient_boosting|zscore_features|0.65,model,5,0.1977002450827845,2020-01-02,2023-12-29,0.05376040685823217,0.113742277083406,0.4726510514538955,0.6087320080899739,-0.25635014947104484,0.23938458938549978
xgboost|zscore_features|0.50,model,5,0.6461087432689718,2020-01-02,2023-12-29,0.11637598175060006,0.24680528975232707,0.47152952786135643,0.5943369965595636,-0.47110586731531745,0.5913461736168344
gradient_boosting|returns_only|0.70,model,5,0.1254191176319879,2020-01-02,2023-12-29,0.04577406147422928,0.09930889783845734,0.4609260848779986,0.4796229502330404,-0.1385215088407472,0.20049378504628068
logistic_regression|returns_plus_volatility|0.60,model,5,0.11635005937727225,2020-01-02,2023-12-29,0.05447033772897997,0.1184696458246194,0.4597830722784214,0.4533377611091046,-0.09162000281762273,0.24290209786645667
logistic_regression|returns_only|0.60,model,5,0.11299748998235053,2020-01-02,2023-12-29,0.05332701441874147,0.11614439246612399,0.4591441160992378,0.4364718632510692,-0.12449331349703796,0.23724214664481624
gradient_boosting|zscore_features|0.55,model,5,0.4766956685460929,2020-01-02,2023-12-29,0.0889246319909992,0.19500116946633092,0.4560210189219045,0.5831970241901734,-0.37151756898912625,0.4261703528966605
random_forest|zscore_features|0.45,model,5,0.7774838259109869,2020-01-02,2023-12-29,0.12632983243544044,0.2797873438756672,0.4515208968550746,0.5777543595161163,-0.48307612608816297,0.6558537088989995
logistic_regression|returns_plus_volatility|0.55,model,5,0.39879556131456356,2020-01-02,2023-12-29,0.08316161540307049,0.19265020710233677,0.4316715598384725,0.5324059384574515,-0.3257004169141354,0.3937339616052127
xgboost|no_volume_features|0.55,model,5,0.4785720974312174,2020-01-02,2023-12-29,0.08400349238122325,0.1995687665656689,0.42092504667348113,0.5403128559851205,-0.39128964598768523,0.3984259394723171
xgboost|returns_only|0.60,model,5,0.3089303417986252,2020-01-02,2023-12-29,0.06397689847823336,0.15351774550394862,0.4167394347032527,0.5074786599703155,-0.30291760868830464,0.29097770318424665
