symbol,strategy,model,feature_set,threshold,folds,avg_exposure,avg_trade_count,avg_accuracy,avg_precision,avg_roc_auc,avg_sharpe_ratio,avg_sortino_ratio,avg_max_drawdown,avg_total_return
MSFT,sized_near_full,random_forest,returns_only,0.4,4,0.892086284981162,59.0,0.5218104816445368,0.527476095812853,0.5196496609527288,0.9654801872338619,1.3523959657166498,-0.19306455451586454,0.32957980575369905
MSFT,volatility_adjusted_50,random_forest,returns_only_inverse_volatility,0.4,1,0.1634977859813165,958.0,,,,0.28497058516143803,0.33647289906165445,-0.1134034006583764,0.06411993419442519
MSFT,volatility_adjusted_75,random_forest,returns_only_inverse_volatility,0.4,1,0.23163986490112987,860.0,,,,0.467489158257181,0.5838274858764797,-0.13536397739308847,0.15025718652100828
MSFT,volatility_adjusted_diversified_50,random_forest,returns_only_inverse_volatility,0.4,1,0.09096382395163634,132.0,,,,0.8363994379536671,1.1171817870603595,-0.036505496939838955,0.10676950165629795
MSFT,volatility_adjusted_diversified_75,random_forest,returns_only_inverse_volatility,0.4,1,0.13644573592745446,132.0,,,,0.836399437953667,1.117181787060359,-0.054255418200689354,0.16435597114301936
MSFT,volatility_adjusted_diversified_full,random_forest,returns_only_inverse_volatility,0.4,1,0.18192764790327268,132.0,,,,0.8363994379536671,1.1171817870603595,-0.07167834257285366,0.22493872979653018
MSFT,volatility_adjusted_full,random_forest,returns_only_inverse_volatility,0.4,1,0.3088531532015065,860.0,,,,0.46748915825718135,0.58382748587648,-0.17628349721551628,0.2052022683796053
NVDA,always_long,baseline,baseline,0.0,4,1.0,0.0,0.5426915590039616,0.5426915590039616,0.5,1.169156121916875,2.1009194090609524,-0.3572990758028381,1.0929041492798552
NVDA,long_flat,random_forest,returns_only,0.45,4,0.760402762624138,82.25,0.5576200043292543,0.5657174599605276,0.5323547406516179,1.6811382498926473,2.7905824151159266,-0.2537347884683576,1.2918951206725275
NVDA,sized_aggressive,random_forest,returns_only,0.45,4,0.6416682931365072,166.5,0.5576200043292543,0.5657174599605276,0.5323547406516179,1.5703385474166907,2.412048875467018,-0.22184451549904036,0.8990215840077823
NVDA,sized_balanced,random_forest,returns_only,0.45,4,0.5097285337913045,190.5,0.5576200043292543,0.5657174599605276,0.5323547406516179,1.4699407269490052,2.1417607342463936,-0.19291541144799793,0.6260042411846748
NVDA,sized_linear,random_forest,returns_only,0.45,4,0.31394482704559123,231.75,0.5576200043292543,0.5657174599605276,0.5323547406516179,1.5642475746400986,2.450034760516856,-0.1271949588926453,0.3437931162966447
NVDA,sized_near_full,random_forest,returns_only,0.45,4,0.7246394077682619,127.25,0.5576200043292543,0.5657174599605276,0.5323547406516179,1.630541748692231,2.654525490086823,-0.2466409279808036,1.1284602283264418
NVDA,volatility_adjusted_50,random_forest,returns_only_inverse_volatility,0.45,1,0.08170726293861598,930.0,,,,1.2261620572127838,1.580162410368021,-0.07068017818344008,0.2910568424541027
NVDA,volatility_adjusted_75,random_forest,returns_only_inverse_volatility,0.45,1,0.12103320365873733,923.0,,,,1.2603071236861498,1.6630530579351543,-0.1028257907033795,0.46612184802283796
NVDA,volatility_adjusted_diversified_50,random_forest,returns_only_inverse_volatility,0.45,1,0.06796174719374148,743.0,,,,1.5073838591322106,2.162504607283909,-0.058934513515099485,0.281936697286584
NVDA,volatility_adjusted_diversified_75,random_forest,returns_only_inverse_volatility,0.45,1,0.10194262079061225,743.0,,,,1.5073838591322104,2.1625046072839087,-0.0870862065774951,0.45144261506449945
NVDA,volatility_adjusted_diversified_full,random_forest,returns_only_inverse_volatility,0.45,1,0.13592349438748297,743.0,,,,1.5073838591322106,2.162504607283909,-0.11439575014693759,0.643361695850035
NVDA,volatility_adjusted_full,random_forest,returns_only_inverse_volatility,0.45,1,0.16137760487831648,923.0,,,,1.2603071236861503,1.6630530579351546,-0.1346953435088183,0.6655592528802086
